"id","fname","lname","role"
2001,"Blake","Shell","Curator"
2002,"Namita","Wiggers","Curator"
2003,"Theo","Downes-LeGuin","Curator"
2004,"Jason","Loeffler","curator"
2005,"Lucile","Chich","curator"
2006,"Bryan","Suereth","curator"
2007,"George","Marsh","curator"
2008,"Cris","Moss","curator"
2009,"Michelle","Grabner","curator"
2010,"John","Olbrantz","curator"
2011,"Cris","Moss","curator"
2012,"Jenene","Nagy","curator"
2013,"Erika","Lepmann","curator"
2014,"Cassandra","Holden","curator"
2015,"Bill","Bachhuber","photographer"
2016,"Mario","Gallucci","photographer"
